"PROVINCIA","SECCION","Circuito","NOMBRE_CATEGORIA","NOMBRE_AGRUPACION","PASO","GRAL"
"Buenos Aires","Almirante Brown","0017","Presidente y Vicepresidente de la República","CONSENSO FEDERAL",1769,1301
"Buenos Aires","Almirante Brown","0017","Presidente y Vicepresidente de la República","CSCCC",11,14
"Buenos Aires","Almirante Brown","0017","Presidente y Vicepresidente de la República","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",681,546
"Buenos Aires","Almirante Brown","0017","Presidente y Vicepresidente de la República","FRENTE DE TODOS",4917,5593
"Buenos Aires","Almirante Brown","0017","Presidente y Vicepresidente de la República","FRENTE NOS",217,119
"Buenos Aires","Almirante Brown","0017","Presidente y Vicepresidente de la República","JUNTOS POR EL CAMBIO",8792,10995
"Buenos Aires","Almirante Brown","0017","Presidente y Vicepresidente de la República","UNITE POR LA LIBERTAD Y LA DIGNIDAD",525,319
"Buenos Aires","Almirante Brown","0017","Presidente y Vicepresidente de la República","VB",441,213
"Buenos Aires","Almirante Brown","0017","Presidente y Vicepresidente de la República","VII",6,5
"Buenos Aires","Almirante Brown","0017","Presidente y Vicepresidente de la República","VN",125,147
"Buenos Aires","Almirante Brown","0017","Presidente y Vicepresidente de la República","VR",2,1
"Buenos Aires","Almirante Brown","0018","Presidente y Vicepresidente de la República","CONSENSO FEDERAL",2013,1819
"Buenos Aires","Almirante Brown","0018","Presidente y Vicepresidente de la República","CSCCC",12,23
"Buenos Aires","Almirante Brown","0018","Presidente y Vicepresidente de la República","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",1091,799
"Buenos Aires","Almirante Brown","0018","Presidente y Vicepresidente de la República","FRENTE DE TODOS",12712,13339
"Buenos Aires","Almirante Brown","0018","Presidente y Vicepresidente de la República","FRENTE NOS",478,359
"Buenos Aires","Almirante Brown","0018","Presidente y Vicepresidente de la República","JUNTOS POR EL CAMBIO",6342,7893
"Buenos Aires","Almirante Brown","0018","Presidente y Vicepresidente de la República","UNITE POR LA LIBERTAD Y LA DIGNIDAD",549,412
"Buenos Aires","Almirante Brown","0018","Presidente y Vicepresidente de la República","VB",643,246
"Buenos Aires","Almirante Brown","0018","Presidente y Vicepresidente de la República","VII",2,13
"Buenos Aires","Almirante Brown","0018","Presidente y Vicepresidente de la República","VN",278,260
"Buenos Aires","Almirante Brown","0018","Presidente y Vicepresidente de la República","VR",0,14
"Buenos Aires","Almirante Brown","0019","Presidente y Vicepresidente de la República","CONSENSO FEDERAL",4903,4994
"Buenos Aires","Almirante Brown","0019","Presidente y Vicepresidente de la República","CSCCC",37,37
"Buenos Aires","Almirante Brown","0019","Presidente y Vicepresidente de la República","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",3080,2459
"Buenos Aires","Almirante Brown","0019","Presidente y Vicepresidente de la República","FRENTE DE TODOS",41007,44400
"Buenos Aires","Almirante Brown","0019","Presidente y Vicepresidente de la República","FRENTE NOS",1219,1283
"Buenos Aires","Almirante Brown","0019","Presidente y Vicepresidente de la República","JUNTOS POR EL CAMBIO",13927,18150
"Buenos Aires","Almirante Brown","0019","Presidente y Vicepresidente de la República","UNITE POR LA LIBERTAD Y LA DIGNIDAD",1151,1101
"Buenos Aires","Almirante Brown","0019","Presidente y Vicepresidente de la República","VB",2022,903
"Buenos Aires","Almirante Brown","0019","Presidente y Vicepresidente de la República","VII",22,76
"Buenos Aires","Almirante Brown","0019","Presidente y Vicepresidente de la República","VN",504,619
"Buenos Aires","Almirante Brown","0019","Presidente y Vicepresidente de la República","VR",31,53
"Buenos Aires","Almirante Brown","0020","Presidente y Vicepresidente de la República","CONSENSO FEDERAL",2283,2094
"Buenos Aires","Almirante Brown","0020","Presidente y Vicepresidente de la República","CSCCC",20,17
"Buenos Aires","Almirante Brown","0020","Presidente y Vicepresidente de la República","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",1167,909
"Buenos Aires","Almirante Brown","0020","Presidente y Vicepresidente de la República","FRENTE DE TODOS",12211,13882
"Buenos Aires","Almirante Brown","0020","Presidente y Vicepresidente de la República","FRENTE NOS",397,313
"Buenos Aires","Almirante Brown","0020","Presidente y Vicepresidente de la República","JUNTOS POR EL CAMBIO",7398,9570
"Buenos Aires","Almirante Brown","0020","Presidente y Vicepresidente de la República","UNITE POR LA LIBERTAD Y LA DIGNIDAD",573,445
"Buenos Aires","Almirante Brown","0020","Presidente y Vicepresidente de la República","VB",641,335
"Buenos Aires","Almirante Brown","0020","Presidente y Vicepresidente de la República","VII",8,3
"Buenos Aires","Almirante Brown","0020","Presidente y Vicepresidente de la República","VN",231,265
"Buenos Aires","Almirante Brown","0020","Presidente y Vicepresidente de la República","VR",5,12
"Buenos Aires","Almirante Brown","0021","Presidente y Vicepresidente de la República","CONSENSO FEDERAL",3047,2972
"Buenos Aires","Almirante Brown","0021","Presidente y Vicepresidente de la República","CSCCC",25,34
"Buenos Aires","Almirante Brown","0021","Presidente y Vicepresidente de la República","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",2106,1637
"Buenos Aires","Almirante Brown","0021","Presidente y Vicepresidente de la República","FRENTE DE TODOS",24935,25702
"Buenos Aires","Almirante Brown","0021","Presidente y Vicepresidente de la República","FRENTE NOS",716,689
"Buenos Aires","Almirante Brown","0021","Presidente y Vicepresidente de la República","JUNTOS POR EL CAMBIO",9122,11193
"Buenos Aires","Almirante Brown","0021","Presidente y Vicepresidente de la República","UNITE POR LA LIBERTAD Y LA DIGNIDAD",705,724
"Buenos Aires","Almirante Brown","0021","Presidente y Vicepresidente de la República","VB",1262,515
"Buenos Aires","Almirante Brown","0021","Presidente y Vicepresidente de la República","VII",20,61
"Buenos Aires","Almirante Brown","0021","Presidente y Vicepresidente de la República","VN",283,422
"Buenos Aires","Almirante Brown","0021","Presidente y Vicepresidente de la República","VR",17,42
"Buenos Aires","Almirante Brown","0022","Presidente y Vicepresidente de la República","CONSENSO FEDERAL",1787,1821
"Buenos Aires","Almirante Brown","0022","Presidente y Vicepresidente de la República","CSCCC",14,14
"Buenos Aires","Almirante Brown","0022","Presidente y Vicepresidente de la República","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",1222,1016
"Buenos Aires","Almirante Brown","0022","Presidente y Vicepresidente de la República","FRENTE DE TODOS",15747,16944
"Buenos Aires","Almirante Brown","0022","Presidente y Vicepresidente de la República","FRENTE NOS",420,457
"Buenos Aires","Almirante Brown","0022","Presidente y Vicepresidente de la República","JUNTOS POR EL CAMBIO",5459,6744
"Buenos Aires","Almirante Brown","0022","Presidente y Vicepresidente de la República","UNITE POR LA LIBERTAD Y LA DIGNIDAD",415,442
"Buenos Aires","Almirante Brown","0022","Presidente y Vicepresidente de la República","VB",856,401
"Buenos Aires","Almirante Brown","0022","Presidente y Vicepresidente de la República","VII",0,25
"Buenos Aires","Almirante Brown","0022","Presidente y Vicepresidente de la República","VN",146,222
"Buenos Aires","Almirante Brown","0022","Presidente y Vicepresidente de la República","VR",2,14
"Buenos Aires","Almirante Brown","0018A","Presidente y Vicepresidente de la República","CONSENSO FEDERAL",2004,2215
"Buenos Aires","Almirante Brown","0018A","Presidente y Vicepresidente de la República","CSCCC",19,19
